notice_title,notice_deadline,org_country
Provision Of Maintenance Services For Runway Rubber And Paint Removal And Associated Works At Moi International Airport,06/11/2026:00:00:00,KE
Communications Officer M/F-Iecd,06/11/2026:00:00:00,TN
Tender Notice For Supply Of School Desks And Tables In Musanze And Nyaruguru Districts,06/11/2026:00:00:00,RW
"Tender Notice For Hiring A Construction Company To Establish A Raw Materials Store, Retaining Wall, Toilets, Security House, Parking, And Renovation Works At The Codiga Agro-Processing Plant In Gatsibo District",06/11/2026:00:00:00,RW
Human Resource And Admin Officer,06/11/2026:00:00:00,RW
Installation Of An Hvac System For Ntbrl,06/11/2026:03:00:00,ZW
To Facilitate Construction Of Council Administration Block By June 2026,06/11/2026:10:00:00,TZ
For The Supply And Delivery Of Ash Dam Rehabilitation Topsoil At Duvha Power Station For A Period Of Thirty-Six (36) Months,06/11/2026:10:00:00,ZA
For The Supply And Delivery Of Ash Dam Rehabilitation Topsoil At Duvha Power Station For A Period Of Thirty-Six (36) Months,06/11/2026:10:00:00,ZA
Quote Request File N°011/Mo/Dc/Cipm/2026 Of 05/18/2026 Nursing Equipment At The Extreme-North Ddr Regional Center,06/11/2026:10:00:00,CM
Acquisition Of Pda Terminals For The Medical Units Pole And The Cnss Polyclinics.,06/11/2026:10:00:00,MA
Procurement Of Spare Parts,06/11/2026:11:30:00,ET
"Supply, Deliver & Install Venetian Blinds (50Mm Grey Plass Wood) & Double Door Frosting Window/Door Frosting With Company Logo",06/11/2026:12:00:00,ZA
Installation Et Mise En Service Groupe Electrogene Centre Operationnel Dgm,06/11/2026:17:00:00,MG
Itangazo Ryo Gupiganira Isoko Ryo Kugura No Kugemura Ibiribwa N’Ibikoresho By’Isuku,06/12/2026:00:00:00,RW
Call For Applications To Join The Training For Coffee Liquorers And Quality Analysts/Q-Graders,06/12/2026:00:00:00,RW
Acquisition D'Equipements Electroniques Pour Le Projet Gef7,06/12/2026:05:00:00,GA
Website Content Management Services,06/12/2026:09:00:00,ZA
Development Work On Pioneer Primary Establishments Reporting To The Provincial Directorate Of Essaouira Aref Marrakech- Safi In The Communities: Korimate And Kechoula Province Of Essaouira.,06/12/2026:10:00:00,MA
Regret Letter - Provision Of Security Services Contract - Olien Ss,06/12/2026:10:00:00,ZA
Server Room Monitoring System,06/12/2026:11:00:00,ZA
Development Work On Pioneer Primary Establishments Reporting To The Provincial Directorate Of Essaouira Aref Marrakech- Safi In The Communities: Lagdadra And Lahsinat Province Of Essaouira,06/12/2026:11:00:00,MA
Rental Of Drones As Part Of The Fight Against Mosquito Populations By Aerial Spraying,06/12/2026:11:00:00,MA
Loading Of Sro Cip Chemicals At Lethabo Power Station,06/12/2026:11:00:00,ZA
Purchase And Installation Of Air Conditioners.,06/12/2026:12:00:00,MA
